entrada,pessoas,umidade,temperatura,resposta
0,0,80.0,26.9,80.55555555555556
1,0,80.0,26.9,80.55555555555556
2,0,80.0,26.9,80.55555555555556
3,0,80.0,26.9,80.55555555555556
4,0,80.0,26.9,80.55555555555556
5,0,80.0,26.9,80.55555555555556
6,0,80.0,26.9,80.55555555555556
7,0,80.0,26.9,80.55555555555556
8,0,80.0,26.9,80.55555555555556
9,0,80.0,26.9,80.55555555555556
10,0,80.0,26.9,80.55555555555556
11,0,80.0,26.9,80.55555555555556
12,0,80.0,26.9,80.55555555555556
13,0,80.0,26.9,80.55555555555556
14,0,80.0,26.9,80.55555555555556
15,0,80.0,26.9,80.55555555555556
16,0,80.0,26.9,80.55555555555556
17,0,80.0,26.9,80.55555555555556
18,0,80.0,26.9,80.55555555555556
19,0,80.0,26.9,80.55555555555556
20,0,80.0,26.9,80.55555555555556
21,0,80.0,26.9,80.55555555555556
22,0,80.0,26.9,80.55555555555556
23,0,80.0,26.9,80.55555555555556
24,0,80.0,26.9,80.55555555555556
25,0,80.0,26.9,80.55555555555556
26,0,80.0,26.9,80.55555555555556
27,0,80.0,26.9,80.55555555555556
28,0,80.0,26.9,80.55555555555556
29,0,80.0,26.9,80.55555555555556
30,0,80.0,26.9,80.55555555555556
31,1,80.0,26.9,58.11594202898547
32,1,80.0,26.9,58.11594202898547
33,1,80.0,26.9,58.11594202898547
34,1,80.0,26.9,58.11594202898547
35,1,80.0,26.9,58.11594202898547
36,1,80.0,26.9,58.11594202898547
37,1,80.0,26.9,58.11594202898547
38,1,80.0,26.9,58.11594202898547
39,1,80.0,26.9,58.11594202898547
40,1,80.0,26.9,58.11594202898547
41,2,80.0,26.9,58.11594202898547
42,2,80.0,26.9,58.11594202898547
43,2,80.0,26.9,58.11594202898547
44,2,80.0,26.9,58.11594202898547
45,2,80.0,26.9,58.11594202898547
46,2,80.0,26.9,58.11594202898547
47,2,80.0,26.9,58.11594202898547
48,1,80.0,26.9,58.11594202898547
49,1,80.0,26.9,58.11594202898547
50,1,80.0,26.9,58.11594202898547
51,1,80.0,26.9,58.11594202898547
52,1,80.0,26.9,58.11594202898547
53,1,80.0,26.9,58.11594202898547
54,1,80.0,26.9,58.11594202898547
55,1,80.0,26.9,58.11594202898547
56,1,80.0,26.9,58.11594202898547
57,1,80.0,26.9,58.11594202898547
58,1,80.0,26.9,58.11594202898547
59,1,80.0,26.9,58.11594202898547
60,1,80.0,26.9,58.11594202898547
61,1,80.0,26.9,58.11594202898547
62,1,80.0,26.9,58.11594202898547
63,1,80.0,26.9,58.11594202898547
64,1,80.0,26.9,58.11594202898547
65,1,80.0,26.9,58.11594202898547
66,1,80.0,26.9,58.11594202898547
67,1,80.0,26.9,58.11594202898547
68,1,80.0,26.9,58.11594202898547
69,1,80.0,26.9,58.11594202898547
